X25;X26;X27;X28;X29;X31;X37;X42;X43;X44;X45;X46;X47;X52;X53;X60;X64;X70;X93;X109;X114;X115;X137;X153;X167;X169;X170;X171;X172;X173;IZ0
10388.8042027435;3950;0.0743151715833835;17199;0.323581426851294;NA;11024.928324;9183.4607689;5079.3651889;4643.8492779;50597.5583498;NA;0.21789447324277;0.181500077640333;0.100387555339814;100365.145;NA;0.175854944433343;3022239.18463667;70182231.8081318;9037032;22310301.8081318;0.0430627397672254;1053.545637;0.0929850205880448;0.443390033028703;2225019.78;0.0887018595114318;0.170376269378813;0.188149046557821;39833
10849.8141415523;4503;0.0808249421140488;18534;0.332669215443433;0.0382924670216159;11583.41393;9147.2028442;5297.8302006;4422.6642188;52388.1439383;0.035388774614795;0.221107545700461;0.174604445902361;0.10112651073952;99896.267;0.034734503405304;0.169157787376944;3237579.67145859;72796414.5999201;9410917;23877163.5999201;0.0444744386004712;1091.705206;0.103260029221123;0.44434031249381;2483264.6;0.0983266298571677;0.169705852891548;0.187253700266922;41275
11410.638373728;4838;0.0822873082287308;19679;0.334711024934517;0.0488235934872213;11745.987516;9479.4047001;5467.0626394;4659.9686544;54342.0055241;0.0372958734346677;0.216149319531293;0.174439728690101;0.100604727165902;103485.255;0.0368225763581303;0.169011698131743;3409697.43183244;75757904.6453798;9537647;24986357.6453798;0.0450078107069238;1130.983368;0.109470559882755;0.445807387702298;2739920.74;0.107620846923698;0.167828908183926;0.185243362599468;42540
11649.4024831743;4950;0.0822027002341531;20669;0.343241941644386;0.0177574436954368;11916.481386;9314.8014167;5511.8950819;4607.1851748;55126.447304;0.0144352747443615;0.21616632249645;0.168971553079281;0.0999864012912737;101648.091;0.0140993380715654;0.163703143387105;3502607.50257993;76321347.1581044;9644914;25497888.1581044;0.0458928940984763;1142.118544;0.119642579837071;0.44732291503633;3128418.93;0.121912041171456;0.163788729197191;0.181152357955095;43459
12307.4508684743;5050;0.0792169288930022;21277;0.333762098228992;0.0444915803665937;12095.713242;9903.0268724;5658.5140012;4625.1659377;56531.5371022;0.0254884881380346;0.213963990049181;0.17517703179549;0.100094819480502;108036.397;0.0248622541418873;0.169770561765167;3621264.65892257;78559083.9039347;9851842;26448236.9039346;0.0460960652666317;1179.867059;0.115194309307581;0.449090610113831;3019568.66;0.116808235454455;0.158831766315697;0.176297015084036;44456
12701.3035803972;5212;0.0790056086099742;21882;0.331696225557071;0.0336521577446406;12394.867457;10063.616223;5894.2334125;4622.5098896;57913.3530733;0.0244432761239432;0.214024344978126;0.173770222046419;0.101776759584957;109671.698;0.0232732481281928;0.16842061187531;3643740.60605663;81321710.424022;10390703;26709124.424022;0.0448064924736296;1218.27265;0.113971964416927;0.449739699418892;2996206.39;0.115361420178742;0.162595603065371;0.180925178814904;46044
13011.9572633411;5662;0.0835916969321168;22604;0.333717187822955;0.0243778224041517;12504.356077;10626.002107;5962.5642945;4911.8842006;59889.0605633;0.0341148868983527;0.208791989044201;0.177428098004122;0.0995601573712755;115799.1;0.0335040215330812;0.172065454689106;3833149.36092128;83087591.5357211;10063356;27933240.5357211;0.0461338364739256;1252.265516;0.118293134716976;0.449883686027527;3164402.13;0.121412841378602;0.159645962269181;0.177975215392331;47796
13395.6364054385;6184;0.0884211730389774;23316;0.333380994595213;0.0265987671007659;12858.069598;10415.419859;6171.0389539;4961.1668183;60919.233378;0.0172013520501156;0.211067488624101;0.170970960753445;0.101298696843558;113428.631;0.0162590354586761;0.165846676568382;4002184.04228616;86526495.4901242;10660203;29229007.4901242;0.0462538557654048;1292.776897;0.116650857040955;0.449762271118726;3090642.11;0.118247412233628;0.160263519198342;0.178360060841265;49775
13802.6504803736;8452;0.116893714127654;23867;0.33008782241892;0.0349037775894626;13396.710002;11079.892771;6601.0577734;4964.0778686;63626.5071543;0.0444403782874535;0.210552340544355;0.174139572743326;0.103746976985423;120539.077;0.042774586304779;0.169013542981951;4233018.12835908;90720382.0671702;11472485;31068390.0671702;0.0466600562288739;1351.895775;0.111761211980288;0.450171711748711;2965512.77;0.11300126954884;0.163109725613814;0.180964769172208;52033
14039.2889442168;9274;0.125585678303496;24600;0.333125694011863;0.0253813871813453;13815.169475;11974.760032;6908.4052878;4683.2064079;65822.7378472;0.0345175429412453;0.209884455232937;0.181924368746223;0.104954693677997;130087.985;0.032391113053478;0.176679667593318;4272111.44666596;91432296.699761;11124105;31627004.699761;0.0467243151585093;1400.999298;0.100144501031459;0.450511351821023;2666940.73;0.1012046575379;0.160710972833091;0.178383138001636;54138
14659.4519761848;9644;0.123965242428917;25205;0.323988379865289;0.0574842802421412;14583.088118;12850.702425;7367.624126;5637.4985486;70101.9863238;0.065011705932588;0.208026746212881;0.18331438378426;0.10509865001498;139335.455;0.0624326106330336;0.178118748203039;4499973.88880565;97830427.789805;12009631;34037837.789805;0.0459976920317075;1478.585062;0.0852678424999736;0.45330441364328;2288061.34;0.0856165651611273;0.160715128289276;0.178608715046638;55925
15254.7646289293;10176;0.124614254224835;26591;0.325630663727651;0.051564730405387;15344.302795;13366.141134;7672.0200012;6122.5086685;73292.5762329;0.0455135449994629;0.209356848724225;0.18236691655546;0.104676631598005;144731.29;0.0437120158791283;0.177267754671649;4664439.40215843;103449893.278741;13015900;35818983.278741;0.0450888759217016;1538.199904;0.077969539222606;0.456089017720639;2113874.93;0.0780270398189592;0.16187218573009;0.180215758654931;57246
15679.0602649297;10023;0.118410793185738;27638;0.326512770833826;0.0398274438140847;15954.714404;13783.776777;8151.0244001;5786.4808402;75774.7448287;0.0338665758986625;0.210554511797671;0.181904628094232;0.107569143499283;148679.237;0.0301553695826432;0.176772581383744;4820450.63871015;107826485.694538;13306923;37415754.6945381;0.0447056268936189;1587.829163;0.0768571752803933;0.458942826607169;2180736.72;0.0794217693453851;0.158900809998761;0.17720680477457;57899
15951.5290426743;10527;0.121228522732507;28782;0.331452393016721;0.0251241121508168;16563.335198;14098.614124;8491.1566745;5501.1817243;78425.2387444;0.0349785924280155;0.211199040808565;0.17977138928387;0.108270715020378;151471.932;0.0311878976190017;0.174646118404915;4927665.2731399;110564631.794071;14048235;38628552.7940705;0.0445681877937043;1630.665795;0.0774945401704306;0.46186329706734;2266779.75;0.0814712385524384;0.152736150472756;0.17060975733301;57753
16537.9493883286;10940;0.12052838586711;30200;0.332720041424747;0.0445348145209284;16911.970421;14933.959864;8988.4666364;5954.0949465;82267.4007108;0.0489913964931904;0.20557317084141;0.181529496920637;0.109259154400632;159772.072;0.0446076043941726;0.176349591178395;5126304.32438078;114417341.684833;14182606;40106673.6848331;0.044803560796766;1704.018549;0.0806234277733234;0.464847979287314;2394883.76;0.08496114993016;0.146892720079582;0.164441881999204;58064
17034.924624715;11652;0.123628647214854;31372;0.332859416445623;0.0274427879593581;17286.977848;15901.467109;9395.3717915;6224.393396;86076.9018956;0.0463063273165976;0.200831784919105;0.184735588279959;0.109150905580865;169410.881;0.0419276030331478;0.179464001580885;5433669.50603621;118249330.33544;14322336;42352818.33544;0.045950953723141;1765.904922;0.0810183657830482;0.467894601755055;2428074.46;0.0850385340177006;0.144145325625812;0.161715241395061;59411
18050.1398108067;12192;0.121116994327608;34240;0.340144839712705;0.0453789279112754;17857.820352;16433.119079;9922.2040751;6861.8913898;90369.5363699;0.0498697604092024;0.197608852156821;0.181843569626562;0.109795894431576;174316.021;0.045466835406655;0.17662943903144;5842549.95411305;123572567.996553;14669513;45397407.9965532;0.0472803151122991;1848.150728;0.0799699776803577;0.470966134167535;2443429.82;0.0844974208965784;0.137681956952096;0.154638665440157;61255
18682.5880162513;12519;0.119024529378209;35744;0.339836470811941;0.0526036601538326;18537.714349;17297.961219;10299.084602;7733.1818408;95018.8339;0.0514476195946114;0.195095157329646;0.182047711059102;0.108389928388713;183064.194;0.0475556853457145;0.177072889917986;6087980.8384041;129359600.727784;15281017;46900170.7277845;0.0470624584812629;1941.360221;0.0720074747209987;0.471815603294338;2228388.64;0.0764280161276091;0.13744155221147;0.154462644346337;63756
19164.8019262277;13275;0.12209478786318;37223;0.342352865433609;0.0309927767512179;19238.202308;17841.877592;10321.001787;8333.8007757;98310.8218033;0.0346456356932832;0.195687534242077;0.181484370334102;0.104983374136066;188583.908;0.0321076402230056;0.176737336531801;6285009.35449359;127727965.680544;14363930;47909121.6805445;0.0492062119756356;1992.379974;0.0677115013648309;0.471914165931103;2072061.62;0.0706649658565378;0.132576695235756;0.14919533790792;65307
19039.4686232017;13061;0.120128765233387;39238;0.360892159117038;0.000407331975560081;19368.947942;17325.682478;10007.515429;7033.5287536;96794.2861642;-0.015425927800037;0.200104249016754;0.17899488869218;0.103389526650607;183236.94;-0.0155067585719757;0.174431118661123;6232156.57304447;126710053.226539;14476105;47188380.226539;0.0491843891968247;1936.422252;0.0828518577470672;0.471231397533645;2571852.6;0.0873715783945132;0.125214506479389;0.141360440974453;65624
19347.0113968784;13431;0.120786718946725;40231;0.36180258282672;0.0232899022801303;20026.744581;17725.48522;10153.518537;7226.0071244;99688.8783923;0.0299045774581122;0.200892465678969;0.177808051468348;0.101852069165062;187150.729;0.0268430366456723;0.173499567378683;6275529.27430052;128937631.727516;14205439;47401136.7275164;0.0486710449867932;1995.288991;0.0851057118520838;0.470630628711561;2622682.07;0.0887866599707971;0.125344932131902;0.142059519432689;66565
19726.4478369349;14070;0.123505556433349;41698;0.366022366180369;0.0201336940951775;20657.570726;18356.790792;10214.60147;7531.9562309;102249.728909;0.0256884274153677;0.202030567185022;0.179528992280626;0.099898567741835;194000.056;0.0253701685994738;0.17539937848315;6601381.73456153;134247020.486101;14691379;49517148.4861008;0.0491733947662921;2058.368881;0.0854273651354298;0.470647909214422;2610661.34;0.0879486548964627;0.125142109068795;0.142090877927343;68087
19688.9813158869;15277;0.13353203912348;43433;0.379635861442045;0.00491457992043061;21354.371762;18098.240407;10188.801335;7327.3187255;103845.7755404;0.0156092993930619;0.205635440159935;0.174279986959692;0.0981147406524608;190986.71;0.0139330381855691;0.170302125338922;6719503.23326304;136337382.837891;14610181;50048216.8378913;0.0492858458435622;2088.804383;0.0914371544749787;0.470577539870523;2801305.44;0.0939298130284682;0.126887481720756;0.144284858565826;68928
19524.0377559493;15998;0.1401599775716;44383;0.388843623237925;0.00116441546343735;21855.257485;17844.318699;10079.918799;7496.7613379;105163.5511289;0.0126897370802275;0.207821600263496;0.169681591268519;0.0958499279531265;188019.262;0.0110820245653195;0.165818458970254;6742118.33430511;137378414.550003;14317961;50572135.5500027;0.0490769845931737;2117.1891;0.0954489758006997;0.470488045460925;2966145.87;0.0989731997142725;0.128224238533591;0.145995497660223;68799
19794.1770149767;16343;0.140390512924036;45475;0.390641777838864;0.0133364348298054;22124.250089;17768.078202;10264.841779;7483.5266676;105820.1494689;0.00624359231836145;0.209074077101944;0.167908269749911;0.097002714799763;186955.707;0.00482172991402778;0.164089291406753;7388648.57621566;144085862;14118121;55620218;0.0512794834528294;2149.765;0.095842809802544;0.470560132640434;2990891;0.0992692141830238;0.124676315544215;0.142050432401203;69012
19836.6549612297;16596;0.141478551456046;46109;0.39307269999318;0.010635855842069;22490.296437;17893.02663;10439.853291;7964.7565132;107858.3578662;0.0192610614096612;0.208516955773604;0.165893742348614;0.0967922514076359;187928.089;0.0173057494059148;0.16213684251057;7600942.49184014;146504856;14190936;57320796;0.051881846782199;2198.432;0.0975086930893097;0.470588578872203;3041765.98;0.100523568576219;0.1255388927724;0.143081223191674;70095
19894.9980771332;16798;0.14188759620809;46995;0.400236767569017;0.00772259236826166;23170.341376;18388.708884;10695.910184;7769.9703265;109794.2925282;0.0179488608977485;0.211034115184529;0.167483285884619;0.0974177248899602;192734.555;0.0158175170131121;0.163694429802068;7728020.96669412;148380692;14697292;58331646;0.0520823893090761;2228.568;0.0946785333593634;0.467505691748449;2948835.86;0.0977320825513798;0.12400130107547;0.141352858766827;72065
20332.2075814272;17189;0.139278388044462;47869;0.394894054264411;0.0271975957926371;23774.234928;19294.510175;11044.759379;8175.2953238;112909.765008;0.0283755412787036;0.210559599750434;0.170884335589866;0.0978193460788573;201807.714;0.0260663888420061;0.165799457299821;7944296.19507854;152203967;15146816;59991066;0.0521950666047918;2291.70536;0.0879153222085417;0.464572908349666;2740831.96;0.0911013617703211;0.122030949739363;0.139118686702824;75034
20650.3216392277;17159.1015838444;0.138413915326839;48914.3048243576;0.394567303722026;0.022;23788.1416774823;19264.2683245172;10919.7543254534;8259.45804848488;114534.321042187;0.0143880915354972;0.207694440068496;0.168196468527732;0.0953404553856949;206592.63187677;0.025;0.166836018692717;8142727.18000774;155704658.241;15570465.8241;61503340.005195;0.0522959767035641;2360.4565208;0.085;0.463;2651593.5110676;0.088;0.122798806846053;0.14;NA
21064.5964044279;17548.9682737844;0.137990110186987;50148.8262707763;0.394327572703519;0.022;24200.5293891609;19303.3845880972;10921.0826857034;8265.35585763165;115684.651818969;0.0100435464786015;0.209193951044011;0.166862105599838;0.0944039033180779;212340.419740716;0.023;0.167622389333508;8337214.2824618;159441570.038784;16103598.5739172;62979420.1653197;0.0522900914763558;2419.46793382;0.0825;0.4615;2564211.60669863;0.085;0.124550457892784;0.142;NA
21268.1186943036;17764.3140855181;0.137559236406142;50940.3318359343;0.394460102196636;0.022;24671.7643464602;19362.8526691504;10940.2024026244;8276.86327472352;117051.803710863;0.0118179194076079;0.210776455930603;0.165421224238285;0.093464620414125;217292.317190609;0.021;0.168003366584278;8580052.47397951;163268167.719715;16326816.7719715;64817462.5847268;0.0525519003110822;2479.9546321655;0.08;0.46;2476400;0.08;0.124549145341536;0.142;NA
21485.2541816312;18039.581573898;0.137553132675243;51726.0712253334;0.394415087117229;0.0149999999999999;25124.081399075;19449.3328772754;10965.2134584089;8255.95352928332;118375.108281232;0.01130528986668;0.212241253789488;0.164302556168045;0.0926310743670716;221699.500672288;0.02;0.168049860588262;8807857.28755427;167186603.744988;16718660.3744988;66540268.2905052;0.0526827932995697;2554.35327113046;0.0775;0.4585;2341901.2823143;0.0775;0.125425592475403;0.143;NA
21782.2861586544;18386.9837674108;0.137590037419727;52715.7607577934;0.394472719779615;0.0180000000000001;25614.3128739493;19552.7535299381;11042.1873240006;8274.37011958092;119967.861564281;0.0134551368626012;0.213509789538298;0.162983262975488;0.0920428786511626;226027.678867705;0.02;0.167971227117322;9024120.45327254;170864709.027378;16915606.1937104;68175018.9019237;0.0528144196928729;2637.3697524422;0.075;0.4575;2270274.25906688;0.075;0.125425261576526;0.143;NA
22081.2418431137;18739.20106001;0.137608150067631;53732.2203474236;0.394573462196008;0.018;25994.1708437801;19691.8492016763;11149.6751374549;8381.17508577117;121430.838402396;0.0121947396497628;0.214065645809353;0.162165142403297;0.0918191398836203;229067.522726379;0.015;0.167714552090073;9227607.08524365;174282003.207925;17428200.3207925;69712801.2831701;0.052946413946337;2729.67769377768;0.0725;0.456;2119675.2759168;0.07;0.124547996531629;0.142;NA
22433.5087795707;19144.004671945;0.137657732964676;54876.2379219161;0.394595521439227;0.0199999999999999;26244.0929648729;19834.6074059696;11236.424882577;8553.70157523171;122554.978173284;0.00925744881347459;0.214141386633562;0.161842527342504;0.0916847691547015;231015.003619769;0.01;0.167465766075596;9412126.03211265;177767643.272084;17776764.3272084;71107057.3088335;0.0529462272147403;2825.2164130599;0.07;0.455;2001590.7680769;0.066;0.124547913907193;0.142;NA
